sensor,value,datetime
PRES,1017.33,2019-01-02 11:30:00+00:00
TC,22.19622,2019-01-02 12:30:00+00:00
HUM,37.0,2019-01-02 12:30:00+00:00
PRES,1017.68,2019-01-02 12:30:00+00:00
TC,20.268288,2019-01-02 13:30:00+00:00
HUM,40.0,2019-01-02 13:30:00+00:00
PRES,1018.31,2019-01-02 13:30:00+00:00
TC,18.395916,2019-01-02 14:30:00+00:00
HUM,43.0,2019-01-02 14:30:00+00:00
PRES,1018.93,2019-01-02 14:30:00+00:00
TC,16.962467999999998,2019-01-02 15:30:00+00:00
HUM,46.0,2019-01-02 15:30:00+00:00
PRES,1019.26,2019-01-02 15:30:00+00:00
TC,15.984612000000002,2019-01-02 16:30:00+00:00
HUM,49.0,2019-01-02 16:30:00+00:00
PRES,1019.29,2019-01-02 16:30:00+00:00
TC,15.340116,2019-01-02 17:30:00+00:00
HUM,52.0,2019-01-02 17:30:00+00:00
PRES,1019.19,2019-01-02 17:30:00+00:00
TC,14.734511999999999,2019-01-02 18:30:00+00:00
HUM,54.0,2019-01-02 18:30:00+00:00
PRES,1019.29,2019-01-02 18:30:00+00:00
TC,14.001120000000002,2019-01-02 19:30:00+00:00
HUM,56.00000000000001,2019-01-02 19:30:00+00:00
PRES,1019.17,2019-01-02 19:30:00+00:00
TC,13.228836,2019-01-02 20:30:00+00:00
HUM,59.0,2019-01-02 20:30:00+00:00
PRES,1019.07,2019-01-02 20:30:00+00:00
TC,12.428772,2019-01-02 21:30:00+00:00
HUM,62.0,2019-01-02 21:30:00+00:00
PRES,1019.1,2019-01-02 21:30:00+00:00
TC,11.6676,2019-01-02 22:30:00+00:00
HUM,64.0,2019-01-02 22:30:00+00:00
PRES,1019.26,2019-01-02 22:30:00+00:00
TC,11.934288,2019-01-02 23:30:00+00:00
HUM,63.0,2019-01-02 23:30:00+00:00
PRES,1019.47,2019-01-02 23:30:00+00:00
TC,13.089936000000002,2019-01-03 00:30:00+00:00
HUM,62.0,2019-01-03 00:30:00+00:00
PRES,1019.77,2019-01-03 00:30:00+00:00
TC,14.117795999999998,2019-01-03 01:30:00+00:00
HUM,62.0,2019-01-03 01:30:00+00:00
PRES,1020.43,2019-01-03 01:30:00+00:00
TC,15.423455999999998,2019-01-03 02:30:00+00:00
